Year,Age,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.1,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD,Att.1,Yds.2,Y/A.1,TD.1,Y/G.1,2PM,Pts,PB,AP1
2013,31,77,240.0,28.5,16.0,16.0,375,584,64.21,4261,28,14,1,4.8,2.4,92.0,42,282,6.7,7.3,7.18,6.24,266.3,8.0,8.0,0.0,1.0,3.0,27,99,3.67,1,6.2,0.0,6,0,0
2015,26,73,217.0,28.6,14.0,14.0,242,380,63.68,3035,20,6,0,5.3,1.58,99.4,36,212,8.7,7.99,8.33,7.1,216.8,7.0,6.0,0.0,1.0,2.0,104,568,5.46,4,40.6,1.0,26,1,0
1998,31,76,218.0,26.5,8.0,7.0,93,169,55.03,1186,4,5,1,2.4,2.96,72.7,22,162,11.5,7.02,6.16,4.6,148.3,3.0,4.0,0.0,0.0,1.0,8,2,0.25,0,0.3,0.0,0,0,0
2012,35,76,225.0,27.4,16.0,16.0,401,637,62.95,4827,34,8,0,5.3,1.26,98.7,27,182,4.1,7.58,8.08,7.48,301.7,12.0,4.0,0.0,1.0,2.0,23,32,1.39,4,2.0,0.0,24,1,0
2000,37,77,235.0,27.9,16.0,16.0,328,590,55.59,3732,21,25,4,3.6,4.24,69.0,13,71,2.2,6.33,5.13,4.9,233.3,9.0,7.0,0.0,4.0,4.0,25,32,1.28,0,2.0,0.0,0,0,0
1986,25,74,215.0,27.6,14.0,14.0,195,363,53.72,2282,8,13,0,2.2,3.58,65.5,47,326,11.5,6.29,5.12,3.73,163.0,2.0,12.0,0.0,0.0,0.0,74,425,5.74,5,30.4,0.0,30,0,0
2003,31,74,219.0,28.1,16.0,16.0,324,520,62.31,3591,26,15,2,5.0,2.88,87.4,37,249,6.6,6.91,6.61,5.72,224.4,8.0,8.0,0.0,3.0,3.0,38,113,2.97,0,7.1,0.0,0,0,0
2014,27,75,217.0,27.1,4.0,1.0,26,48,54.17,223,2,1,0,4.2,2.08,71.8,3,20,5.9,4.65,4.54,3.88,55.8,0.0,1.0,0.0,0.0,0.0,3,9,3.0,0,2.3,0.0,0,0,0
1997,37,75,215.0,26.9,16.0,16.0,280,502,55.78,3635,27,11,1,5.4,2.19,87.5,34,203,6.3,7.24,7.33,6.49,227.2,12.0,4.0,0.0,0.0,2.0,50,218,4.36,1,13.6,0.0,6,1,0
1989,28,76,210.0,25.6,7.0,3.0,53,87,60.92,701,7,2,1,8.0,2.3,103.7,4,24,4.4,8.06,8.63,7.99,100.1,3.0,0.0,0.0,1.0,1.0,9,30,3.33,0,4.3,0.0,0,0,0
2000,28,74,219.0,28.1,15.0,12.0,259,418,61.96,2658,18,19,2,4.3,4.55,75.6,33,166,7.3,6.36,5.17,4.43,177.2,6.0,6.0,0.0,2.0,4.0,48,127,2.65,1,8.5,0.0,6,0,0
1994,23,74,216.0,27.7,11.0,8.0,120,265,45.28,1658,10,12,1,3.8,4.53,59.6,12,83,4.3,6.26,4.97,4.46,150.7,1.0,7.0,0.0,0.0,0.0,26,103,3.96,0,9.4,0.0,0,0,0
1986,26,76,210.0,25.6,15.0,14.0,300,482,62.24,3690,25,20,1,5.2,4.15,85.8,40,353,7.7,7.66,6.83,5.63,246.0,8.0,6.0,0.0,3.0,3.0,17,46,2.71,0,3.1,0.0,0,0,0
2001,24,76,260.0,31.6,11.0,11.0,235,366,64.21,2612,14,13,0,3.8,3.55,83.3,33,186,8.3,7.14,6.3,5.32,237.5,4.0,7.0,0.0,2.0,2.0,71,416,5.86,5,37.8,3.0,34,0,0
1985,30,74,200.0,25.7,15.0,15.0,277,506,54.74,3522,19,26,2,3.8,5.14,67.8,39,255,7.2,6.96,5.4,4.54,234.8,6.0,9.0,0.0,2.0,4.0,27,54,2.0,0,3.6,0.0,0,0,0
2001,29,77,238.0,28.2,2.0,2.0,40,66,60.61,400,2,2,0,3.0,3.03,75.3,5,21,7.0,6.06,5.3,4.63,200.0,0.0,2.0,0.0,0.0,0.0,5,18,3.6,0,9.0,0.0,0,0,0
2014,23,77,224.0,26.6,7.0,6.0,107,179,59.78,1412,8,7,1,4.5,3.91,83.4,18,138,9.1,7.89,7.02,5.68,201.7,0.0,6.0,0.0,0.0,0.0,5,4,0.8,0,0.6,0.0,0,0,0
2002,25,76,260.0,31.6,16.0,16.0,333,549,60.66,3853,18,23,2,3.3,4.19,75.3,47,244,7.9,7.02,5.79,4.92,240.8,6.0,10.0,0.0,3.0,4.0,106,609,5.75,10,38.1,1.0,62,0,0
1989,29,75,215.0,26.9,15.0,15.0,223,416,53.61,3051,18,18,1,4.3,4.33,73.7,35,298,7.8,7.33,6.25,5.11,203.4,10.0,5.0,0.0,2.0,2.0,48,244,5.08,3,16.3,0.0,18,1,0
2015,36,76,218.0,26.5,8.0,8.0,186,292,63.7,2109,12,4,1,4.1,1.37,93.3,23,137,7.3,7.22,7.43,6.45,263.6,1.0,7.0,0.0,1.0,1.0,20,98,4.9,1,12.3,0.0,6,0,0
1990,28,76,231.0,28.1,10.0,10.0,166,304,54.61,2070,16,11,2,5.3,3.62,78.4,6,33,1.9,6.81,6.23,6.01,207.0,7.0,3.0,0.0,1.0,1.0,15,4,0.27,0,0.4,0.0,0,0,0
2005,29,75,230.0,28.7,3.0,3.0,49,83,59.04,530,2,3,0,2.4,3.61,70.9,9,52,9.8,6.39,5.24,4.16,176.7,1.0,2.0,0.0,0.0,0.0,6,27,4.5,0,9.0,0.0,0,0,0
1999,34,76,224.0,27.3,12.0,12.0,174,307,56.68,2339,16,11,2,5.2,3.58,83.5,32,230,9.4,7.62,7.05,5.71,194.9,4.0,8.0,0.0,0.0,0.0,16,57,3.56,1,4.8,0.0,6,0,0
1992,31,76,215.0,26.2,13.0,9.0,123,253,48.62,1476,11,11,1,4.3,4.35,63.3,25,180,9.0,5.83,4.75,3.67,113.5,4.0,5.0,0.0,0.0,0.0,28,160,5.71,0,12.3,0.0,0,0,0
